job_name,particle,mode,events,rep,part,seed,source,temp_source,sim_path,dat_path,log
Background_gamma_fullsphere20_rep01_part01,gamma,buildup,83334,1,1,1007922,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part01.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part01.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part01.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part01.log
Background_gamma_fullsphere20_rep01_part02,gamma,buildup,83334,1,2,1015841,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part02.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part02.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part02.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part02.log
Background_gamma_fullsphere20_rep01_part03,gamma,buildup,83334,1,3,1023760,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part03.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part03.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part03.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part03.log
Background_gamma_fullsphere20_rep01_part04,gamma,buildup,83334,1,4,1031679,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part04.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part04.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part04.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part04.log
Background_gamma_fullsphere20_rep01_part05,gamma,buildup,83333,1,5,1039598,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part05.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part05.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part05.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part05.log
Background_gamma_fullsphere20_rep01_part06,gamma,buildup,83333,1,6,1047517,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part06.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part06.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part06.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part06.log
Background_gamma_fullsphere20_rep01_part07,gamma,buildup,83333,1,7,1055436,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part07.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part07.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part07.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part07.log
Background_gamma_fullsphere20_rep01_part08,gamma,buildup,83333,1,8,1063355,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part08.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part08.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part08.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part08.log
Background_gamma_fullsphere20_rep01_part09,gamma,buildup,83333,1,9,1071274,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part09.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part09.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part09.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part09.log
Background_gamma_fullsphere20_rep01_part10,gamma,buildup,83333,1,10,1079193,/home/ubuntu/TES_511_Balloon/config/megalib_sources_fullsphere20_v3p5_centerfinger_tilt45/Background_gamma_fullsphere20.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/job_sources/Background_gamma_fullsphere20_rep01_part10.source,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part10.inc1.id1.sim.gz,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/Background_gamma_fullsphere20_rep01_part10.dat.inc1.dat,/home/ubuntu/TES_511_Balloon/runs/step02_buildup_v3p5_centerfinger_1of10/logs/Background_gamma_fullsphere20_rep01_part10.log
